op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,107.586,5.554,106.790,146.527,106.796,9.792
1,DEPTHWISE_CONV_2D,6.168,0.003,6.160,6.172,6.166,0.561
2,CONV_2D,156.710,7.755,155.117,194.916,155.131,14.264
3,DEPTHWISE_CONV_2D,6.166,0.005,6.154,6.174,6.165,0.561
4,CONV_2D,156.303,6.731,155.108,194.420,155.118,14.227
5,DEPTHWISE_CONV_2D,6.173,0.003,6.162,6.177,6.176,0.562
6,CONV_2D,156.321,6.761,155.123,194.921,155.132,14.228
7,DEPTHWISE_CONV_2D,6.174,0.004,6.162,6.178,6.176,0.562
8,CONV_2D,156.706,7.788,155.110,194.924,155.118,14.263
9,DEPTHWISE_CONV_2D,6.173,0.004,6.161,6.176,6.175,0.562
10,CONV_2D,156.301,6.736,155.109,194.433,155.118,14.226
11,DEPTHWISE_CONV_2D,6.171,0.004,6.160,6.176,6.170,0.562
12,CONV_2D,156.297,6.733,155.103,194.393,155.114,14.226
13,MEAN,15.251,0.003,15.245,15.257,15.251,1.388
14,FULLY_CONNECTED,0.166,0.001,0.165,0.171,0.166,0.015
