run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,106969
-1,1,DEPTHWISE_CONV_2D,6335
-1,2,CONV_2D,155117
-1,3,DEPTHWISE_CONV_2D,6175
-1,4,CONV_2D,155150
-1,5,DEPTHWISE_CONV_2D,6169
-1,6,CONV_2D,155130
-1,7,DEPTHWISE_CONV_2D,6169
-1,8,CONV_2D,155155
-1,9,DEPTHWISE_CONV_2D,6167
-1,10,CONV_2D,155116
-1,11,DEPTHWISE_CONV_2D,6176
-1,12,CONV_2D,155139
-1,13,MEAN,15342
-1,14,FULLY_CONNECTED,237
-1,15,CONV_2D,106790
-1,16,DEPTHWISE_CONV_2D,6171
-1,17,CONV_2D,155126
-1,18,DEPTHWISE_CONV_2D,6162
-1,19,CONV_2D,155119
-1,20,DEPTHWISE_CONV_2D,6171
-1,21,CONV_2D,155138
-1,22,DEPTHWISE_CONV_2D,6162
-1,23,CONV_2D,155121
-1,24,DEPTHWISE_CONV_2D,6170
-1,25,CONV_2D,155123
-1,26,DEPTHWISE_CONV_2D,6167
-1,27,CONV_2D,155109
-1,28,MEAN,15254
-1,29,FULLY_CONNECTED,168
-1,30,CONV_2D,106791
-1,31,DEPTHWISE_CONV_2D,6171
-1,32,CONV_2D,155147
-1,33,DEPTHWISE_CONV_2D,6170
-1,34,CONV_2D,155114
-1,35,DEPTHWISE_CONV_2D,6171
-1,36,CONV_2D,155134
-1,37,DEPTHWISE_CONV_2D,6171
-1,38,CONV_2D,155116
-1,39,DEPTHWISE_CONV_2D,6169
-1,40,CONV_2D,155120
-1,41,DEPTHWISE_CONV_2D,6175
-1,42,CONV_2D,155104
-1,43,MEAN,15260
-1,44,FULLY_CONNECTED,166
-1,45,CONV_2D,106790
-1,46,DEPTHWISE_CONV_2D,6171
-1,47,CONV_2D,155118
-1,48,DEPTHWISE_CONV_2D,6170
-1,49,CONV_2D,155150
-1,50,DEPTHWISE_CONV_2D,6171
-1,51,CONV_2D,155130
-1,52,DEPTHWISE_CONV_2D,6171
-1,53,CONV_2D,155153
-1,54,DEPTHWISE_CONV_2D,6170
-1,55,CONV_2D,155115
-1,56,DEPTHWISE_CONV_2D,6174
-1,57,CONV_2D,155140
-1,58,MEAN,15254
-1,59,FULLY_CONNECTED,166
-1,60,CONV_2D,106790
-1,61,DEPTHWISE_CONV_2D,6171
-1,62,CONV_2D,155126
-1,63,DEPTHWISE_CONV_2D,6161
-1,64,CONV_2D,155120
-1,65,DEPTHWISE_CONV_2D,6170
-1,66,CONV_2D,155137
-1,67,DEPTHWISE_CONV_2D,6163
-1,68,CONV_2D,194392
-1,69,DEPTHWISE_CONV_2D,6172
-1,70,CONV_2D,155150
-1,71,DEPTHWISE_CONV_2D,6176
-1,72,CONV_2D,155104
-1,73,MEAN,15256
-1,74,FULLY_CONNECTED,167
0,0,CONV_2D,106796
0,1,DEPTHWISE_CONV_2D,6171
0,2,CONV_2D,155119
0,3,DEPTHWISE_CONV_2D,6169
0,4,CONV_2D,155150
0,5,DEPTHWISE_CONV_2D,6171
0,6,CONV_2D,155129
0,7,DEPTHWISE_CONV_2D,6171
0,8,CONV_2D,155151
0,9,DEPTHWISE_CONV_2D,6170
0,10,CONV_2D,155116
0,11,DEPTHWISE_CONV_2D,6176
0,12,CONV_2D,155139
0,13,MEAN,15255
0,14,FULLY_CONNECTED,168
1,0,CONV_2D,106790
1,1,DEPTHWISE_CONV_2D,6171
1,2,CONV_2D,155126
1,3,DEPTHWISE_CONV_2D,6164
1,4,CONV_2D,155119
1,5,DEPTHWISE_CONV_2D,6171
1,6,CONV_2D,155137
1,7,DEPTHWISE_CONV_2D,6163
1,8,CONV_2D,155121
1,9,DEPTHWISE_CONV_2D,6170
1,10,CONV_2D,155123
1,11,DEPTHWISE_CONV_2D,6167
1,12,CONV_2D,155109
1,13,MEAN,15254
1,14,FULLY_CONNECTED,166
2,0,CONV_2D,106791
2,1,DEPTHWISE_CONV_2D,6172
2,2,CONV_2D,155153
2,3,DEPTHWISE_CONV_2D,6171
2,4,CONV_2D,155114
2,5,DEPTHWISE_CONV_2D,6171
2,6,CONV_2D,155165
2,7,DEPTHWISE_CONV_2D,6172
2,8,CONV_2D,155116
2,9,DEPTHWISE_CONV_2D,6170
2,10,CONV_2D,155149
2,11,DEPTHWISE_CONV_2D,6175
2,12,CONV_2D,155103
2,13,MEAN,15255
2,14,FULLY_CONNECTED,166
3,0,CONV_2D,106794
3,1,DEPTHWISE_CONV_2D,6171
3,2,CONV_2D,155117
3,3,DEPTHWISE_CONV_2D,6170
3,4,CONV_2D,155149
3,5,DEPTHWISE_CONV_2D,6171
3,6,CONV_2D,155129
3,7,DEPTHWISE_CONV_2D,6171
3,8,CONV_2D,155151
3,9,DEPTHWISE_CONV_2D,6171
3,10,CONV_2D,155114
3,11,DEPTHWISE_CONV_2D,6175
3,12,CONV_2D,155139
3,13,MEAN,15254
3,14,FULLY_CONNECTED,167
4,0,CONV_2D,106791
4,1,DEPTHWISE_CONV_2D,6171
4,2,CONV_2D,194397
4,3,DEPTHWISE_CONV_2D,6171
4,4,CONV_2D,155109
4,5,DEPTHWISE_CONV_2D,6177
4,6,CONV_2D,155165
