run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,59807
-1,1,DEPTHWISE_CONV_2D,2381
-1,2,CONV_2D,51793
-1,3,DEPTHWISE_CONV_2D,2193
-1,4,CONV_2D,51803
-1,5,DEPTHWISE_CONV_2D,2209
-1,6,CONV_2D,51791
-1,7,DEPTHWISE_CONV_2D,2216
-1,8,CONV_2D,51783
-1,9,DEPTHWISE_CONV_2D,2201
-1,10,CONV_2D,51794
-1,11,DEPTHWISE_CONV_2D,2210
-1,12,CONV_2D,51809
-1,13,MEAN,8606
-1,14,FULLY_CONNECTED,177
-1,15,CONV_2D,59627
-1,16,DEPTHWISE_CONV_2D,2199
-1,17,CONV_2D,51793
-1,18,DEPTHWISE_CONV_2D,2204
-1,19,CONV_2D,51806
-1,20,DEPTHWISE_CONV_2D,2217
-1,21,CONV_2D,51784
-1,22,DEPTHWISE_CONV_2D,2208
-1,23,CONV_2D,51783
-1,24,DEPTHWISE_CONV_2D,2201
-1,25,CONV_2D,51801
-1,26,DEPTHWISE_CONV_2D,2203
-1,27,CONV_2D,51810
-1,28,MEAN,8515
-1,29,FULLY_CONNECTED,97
-1,30,CONV_2D,59625
-1,31,DEPTHWISE_CONV_2D,2205
-1,32,CONV_2D,51793
-1,33,DEPTHWISE_CONV_2D,2198
-1,34,CONV_2D,51809
-1,35,DEPTHWISE_CONV_2D,2211
-1,36,CONV_2D,51784
-1,37,DEPTHWISE_CONV_2D,2208
-1,38,CONV_2D,51781
-1,39,DEPTHWISE_CONV_2D,2213
-1,40,CONV_2D,51788
-1,41,DEPTHWISE_CONV_2D,2210
-1,42,CONV_2D,51809
-1,43,MEAN,8514
-1,44,FULLY_CONNECTED,97
-1,45,CONV_2D,59625
-1,46,DEPTHWISE_CONV_2D,2199
-1,47,CONV_2D,51794
-1,48,DEPTHWISE_CONV_2D,2208
-1,49,CONV_2D,51809
-1,50,DEPTHWISE_CONV_2D,2207
-1,51,CONV_2D,51782
-1,52,DEPTHWISE_CONV_2D,2214
-1,53,CONV_2D,51789
-1,54,DEPTHWISE_CONV_2D,2204
-1,55,CONV_2D,51797
-1,56,DEPTHWISE_CONV_2D,2199
-1,57,CONV_2D,51806
-1,58,MEAN,8516
-1,59,FULLY_CONNECTED,97
-1,60,CONV_2D,59625
-1,61,DEPTHWISE_CONV_2D,2204
-1,62,CONV_2D,51801
-1,63,DEPTHWISE_CONV_2D,2203
-1,64,CONV_2D,51799
-1,65,DEPTHWISE_CONV_2D,2212
-1,66,CONV_2D,51783
-1,67,DEPTHWISE_CONV_2D,2218
