op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,59.625,0.002,59.619,59.629,59.626,15.080
1,DEPTHWISE_CONV_2D,2.202,0.004,2.199,2.211,2.200,0.557
2,CONV_2D,52.579,5.518,51.788,91.011,51.794,13.298
3,DEPTHWISE_CONV_2D,2.201,0.004,2.197,2.211,2.199,0.557
4,CONV_2D,52.197,3.921,51.799,91.016,51.805,13.202
5,DEPTHWISE_CONV_2D,2.213,0.004,2.208,2.223,2.211,0.560
6,CONV_2D,52.177,3.921,51.779,90.996,51.785,13.197
7,DEPTHWISE_CONV_2D,2.211,0.003,2.208,2.220,2.209,0.559
8,CONV_2D,52.568,5.519,51.776,91.021,51.782,13.295
9,DEPTHWISE_CONV_2D,2.204,0.004,2.200,2.214,2.202,0.557
10,CONV_2D,51.795,0.003,51.787,51.802,51.794,13.100
11,DEPTHWISE_CONV_2D,2.206,0.004,2.200,2.216,2.204,0.558
12,CONV_2D,52.593,5.516,51.802,91.016,51.809,13.302
13,MEAN,8.514,0.003,8.508,8.520,8.514,2.153
14,FULLY_CONNECTED,0.097,0.001,0.096,0.102,0.097,0.025
