timestamp,bus_voltage,bus_current,state
9379,4.1195,6.1150,SLEEP
9439,4.1186,6.2050,SLEEP
9499,4.1186,6.2880,SLEEP
9559,4.1176,6.1080,SLEEP
9619,4.1188,6.2070,SLEEP
9679,4.1191,6.2710,SLEEP
9740,4.0896,58.0430,HW_BOOT
9800,4.0834,66.4610,HW_BOOT
9860,4.0830,66.7370,HW_BOOT
9920,4.0854,61.5690,HW_BOOT
9980,4.0891,56.1490,HW_BOOT
10040,4.0889,56.6200,HW_BOOT
10100,4.0848,62.1610,HW_BOOT
10160,4.0859,62.6370,HW_BOOT
10220,4.0854,62.2320,HW_BOOT
10280,4.0848,62.2840,HW_BOOT
10340,4.0857,61.0450,HW_BOOT
10393,4.0855,61.0150,HW_BOOT
10450,4.0893,52.9490,HW_BOOT
10510,4.0713,84.7700,HW_BOOT
10563,4.0723,84.8010,HW_BOOT
10613,4.0699,84.8000,HW_BOOT
10670,4.0697,85.0880,HW_BOOT
10730,4.0697,85.3730,HW_BOOT
10790,4.0687,85.5010,HW_BOOT
10850,4.0725,81.4650,HW_BOOT
10910,4.0809,65.2100,HW_BOOT
10970,4.0779,70.5720,HW_BOOT
11030,4.0895,51.0690,HW_BOOT
11090,4.0906,50.2850,HW_BOOT
11150,4.0900,50.5470,HW_BOOT
11210,4.0904,50.3450,HW_BOOT
11270,4.0896,50.4010,HW_BOOT
11323,4.0906,50.3800,HW_BOOT
11380,4.0900,50.4820,HW_BOOT
11440,4.0830,64.5780,HW_BOOT
11500,4.0736,81.4780,HW_BOOT
11560,4.0762,76.1590,HW_BOOT
11621,4.0574,108.0350,HW_BOOT
11679,4.0771,72.7060,RECORD
11740,4.0879,52.4840,RECORD
11793,4.0883,52.5020,RECORD
11850,4.0859,57.5420,RECORD
11903,4.0869,57.4730,RECORD
11960,4.0887,52.6770,RECORD
12020,4.0889,52.5420,RECORD
12080,4.0861,57.1420,RECORD
12140,4.0891,52.4580,RECORD
12200,4.0869,56.9530,RECORD
12260,4.0859,59.5970,RECORD
12320,4.0896,52.2080,RECORD
12380,4.0863,58.4420,RECORD
12440,4.0896,52.5770,RECORD
12500,4.0869,57.4030,RECORD
12553,4.0859,57.4140,RECORD
12608,4.0881,58.1580,RECORD
12707,4.0889,52.6940,RECORD
12753,4.0893,52.6610,RECORD
12810,4.0869,57.1140,RECORD
12870,4.0857,58.2440,RECORD
12930,4.0895,52.1590,RECORD
