run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,39944
-1,1,DEPTHWISE_CONV_2D,1663
-1,2,CONV_2D,24879
-1,3,DEPTHWISE_CONV_2D,1469
-1,4,CONV_2D,24874
-1,5,MEAN,5751
-1,6,FULLY_CONNECTED,142
-1,7,CONV_2D,39679
-1,8,DEPTHWISE_CONV_2D,1421
-1,9,CONV_2D,24727
-1,10,DEPTHWISE_CONV_2D,1415
-1,11,CONV_2D,24738
-1,12,MEAN,5670
-1,13,FULLY_CONNECTED,25
-1,14,CONV_2D,39679
-1,15,DEPTHWISE_CONV_2D,1415
-1,16,CONV_2D,24733
-1,17,DEPTHWISE_CONV_2D,1414
-1,18,CONV_2D,24732
-1,19,MEAN,5674
-1,20,FULLY_CONNECTED,25
-1,21,CONV_2D,39678
-1,22,DEPTHWISE_CONV_2D,1415
-1,23,CONV_2D,24733
-1,24,DEPTHWISE_CONV_2D,1414
-1,25,CONV_2D,24732
-1,26,MEAN,5674
-1,27,FULLY_CONNECTED,25
-1,28,CONV_2D,39678
-1,29,DEPTHWISE_CONV_2D,1414
-1,30,CONV_2D,24727
-1,31,DEPTHWISE_CONV_2D,1415
-1,32,CONV_2D,24738
-1,33,MEAN,5674
-1,34,FULLY_CONNECTED,25
0,0,CONV_2D,39679
0,1,DEPTHWISE_CONV_2D,1415
0,2,CONV_2D,24727
0,3,DEPTHWISE_CONV_2D,1415
0,4,CONV_2D,24738
0,5,MEAN,5668
0,6,FULLY_CONNECTED,25
1,0,CONV_2D,39678
1,1,DEPTHWISE_CONV_2D,1415
1,2,CONV_2D,24733
1,3,DEPTHWISE_CONV_2D,1415
1,4,CONV_2D,24732
1,5,MEAN,5668
1,6,FULLY_CONNECTED,26
2,0,CONV_2D,39678
2,1,DEPTHWISE_CONV_2D,1414
2,2,CONV_2D,24732
2,3,DEPTHWISE_CONV_2D,1415
2,4,CONV_2D,24732
2,5,MEAN,5674
2,6,FULLY_CONNECTED,25
3,0,CONV_2D,39678
3,1,DEPTHWISE_CONV_2D,1415
3,2,CONV_2D,24727
3,3,DEPTHWISE_CONV_2D,1421
3,4,CONV_2D,24732
3,5,MEAN,5679
3,6,FULLY_CONNECTED,25
4,0,CONV_2D,39673
4,1,DEPTHWISE_CONV_2D,1414
4,2,CONV_2D,24727
4,3,DEPTHWISE_CONV_2D,1415
4,4,CONV_2D,24738
4,5,MEAN,5673
4,6,FULLY_CONNECTED,26
5,0,CONV_2D,39673
5,1,DEPTHWISE_CONV_2D,1414
5,2,CONV_2D,24733
5,3,DEPTHWISE_CONV_2D,1421
5,4,CONV_2D,24733
5,5,MEAN,5674
5,6,FULLY_CONNECTED,25
6,0,CONV_2D,39674
6,1,DEPTHWISE_CONV_2D,1415
6,2,CONV_2D,24733
6,3,DEPTHWISE_CONV_2D,1420
6,4,CONV_2D,24727
6,5,MEAN,5679
6,6,FULLY_CONNECTED,25
7,0,CONV_2D,39674
7,1,DEPTHWISE_CONV_2D,1415
7,2,CONV_2D,24727
7,3,DEPTHWISE_CONV_2D,1426
7,4,CONV_2D,24728
7,5,MEAN,5679
7,6,FULLY_CONNECTED,25
8,0,CONV_2D,39674
8,1,DEPTHWISE_CONV_2D,1415
8,2,CONV_2D,24728
8,3,DEPTHWISE_CONV_2D,1420
8,4,CONV_2D,24732
8,5,MEAN,5673
8,6,FULLY_CONNECTED,25
9,0,CONV_2D,39673
9,1,DEPTHWISE_CONV_2D,1421
9,2,CONV_2D,24727
9,3,DEPTHWISE_CONV_2D,1420
9,4,CONV_2D,24733
9,5,MEAN,5674
9,6,FULLY_CONNECTED,25
10,0,CONV_2D,39674
10,1,DEPTHWISE_CONV_2D,1415
10,2,CONV_2D,24733
10,3,DEPTHWISE_CONV_2D,1420
10,4,CONV_2D,24727
10,5,MEAN,5678
10,6,FULLY_CONNECTED,25
11,0,CONV_2D,39674
11,1,DEPTHWISE_CONV_2D,1415
11,2,CONV_2D,24733
11,3,DEPTHWISE_CONV_2D,1420
11,4,CONV_2D,24727
11,5,MEAN,5679
11,6,FULLY_CONNECTED,25
12,0,CONV_2D,39674
12,1,DEPTHWISE_CONV_2D,1415
12,2,CONV_2D,24728
12,3,DEPTHWISE_CONV_2D,1420
12,4,CONV_2D,24733
12,5,MEAN,5679
12,6,FULLY_CONNECTED,25
13,0,CONV_2D,39668
13,1,DEPTHWISE_CONV_2D,1420
13,2,CONV_2D,24732
13,3,DEPTHWISE_CONV_2D,1415
13,4,CONV_2D,24733
13,5,MEAN,5673
13,6,FULLY_CONNECTED,25
14,0,CONV_2D,39674
14,1,DEPTHWISE_CONV_2D,1415
14,2,CONV_2D,24737
14,3,DEPTHWISE_CONV_2D,1415
14,4,CONV_2D,24727
14,5,MEAN,5679
14,6,FULLY_CONNECTED,25
15,0,CONV_2D,39673
15,1,DEPTHWISE_CONV_2D,1415
15,2,CONV_2D,24738
15,3,DEPTHWISE_CONV_2D,1414
15,4,CONV_2D,24727
15,5,MEAN,5679
15,6,FULLY_CONNECTED,26
16,0,CONV_2D,39673
16,1,DEPTHWISE_CONV_2D,1414
16,2,CONV_2D,24732
16,3,DEPTHWISE_CONV_2D,1421
16,4,CONV_2D,24727
16,5,MEAN,5679
16,6,FULLY_CONNECTED,26
17,0,CONV_2D,39673
17,1,DEPTHWISE_CONV_2D,1414
17,2,CONV_2D,24732
17,3,DEPTHWISE_CONV_2D,1415
17,4,CONV_2D,24733
17,5,MEAN,5674
17,6,FULLY_CONNECTED,25
18,0,CONV_2D,39674
18,1,DEPTHWISE_CONV_2D,1415
18,2,CONV_2D,24737
18,3,DEPTHWISE_CONV_2D,1415
18,4,CONV_2D,24733
18,5,MEAN,5673
18,6,FULLY_CONNECTED,25
19,0,CONV_2D,39673
19,1,DEPTHWISE_CONV_2D,1414
19,2,CONV_2D,24738
19,3,DEPTHWISE_CONV_2D,1415
19,4,CONV_2D,24727
19,5,MEAN,5678
19,6,FULLY_CONNECTED,25
20,0,CONV_2D,39673
20,1,DEPTHWISE_CONV_2D,1415
20,2,CONV_2D,24732
20,3,DEPTHWISE_CONV_2D,1421
20,4,CONV_2D,24727
20,5,MEAN,5679
20,6,FULLY_CONNECTED,25
21,0,CONV_2D,39674
21,1,DEPTHWISE_CONV_2D,1415
21,2,CONV_2D,24732
21,3,DEPTHWISE_CONV_2D,1414
21,4,CONV_2D,24733
21,5,MEAN,5673
21,6,FULLY_CONNECTED,25
22,0,CONV_2D,39674
22,1,DEPTHWISE_CONV_2D,1421
22,2,CONV_2D,24732
22,3,DEPTHWISE_CONV_2D,1414
22,4,CONV_2D,24733
22,5,MEAN,5674
22,6,FULLY_CONNECTED,25
23,0,CONV_2D,39674
23,1,DEPTHWISE_CONV_2D,1415
23,2,CONV_2D,24738
23,3,DEPTHWISE_CONV_2D,1414
23,4,CONV_2D,24727
23,5,MEAN,5679
23,6,FULLY_CONNECTED,25
24,0,CONV_2D,39673
24,1,DEPTHWISE_CONV_2D,1415
