run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,39939
-1,1,DEPTHWISE_CONV_2D,1654
-1,2,CONV_2D,24876
-1,3,DEPTHWISE_CONV_2D,1470
-1,4,CONV_2D,24875
-1,5,DEPTHWISE_CONV_2D,1467
-1,6,CONV_2D,24877
-1,7,MEAN,5757
-1,8,FULLY_CONNECTED,148
-1,9,CONV_2D,39687
-1,10,DEPTHWISE_CONV_2D,1434
-1,11,CONV_2D,24727
-1,12,DEPTHWISE_CONV_2D,1421
-1,13,CONV_2D,24732
-1,14,DEPTHWISE_CONV_2D,1414
-1,15,CONV_2D,24733
-1,16,MEAN,5683
-1,17,FULLY_CONNECTED,33
-1,18,CONV_2D,39682
-1,19,DEPTHWISE_CONV_2D,1433
-1,20,CONV_2D,24738
-1,21,DEPTHWISE_CONV_2D,1415
-1,22,CONV_2D,24727
-1,23,DEPTHWISE_CONV_2D,1421
-1,24,CONV_2D,24732
-1,25,MEAN,5681
-1,26,FULLY_CONNECTED,33
-1,27,CONV_2D,39687
-1,28,DEPTHWISE_CONV_2D,1433
-1,29,CONV_2D,24727
-1,30,DEPTHWISE_CONV_2D,1415
-1,31,CONV_2D,24738
-1,32,DEPTHWISE_CONV_2D,1415
-1,33,CONV_2D,24727
-1,34,MEAN,5687
-1,35,FULLY_CONNECTED,33
-1,36,CONV_2D,39682
-1,37,DEPTHWISE_CONV_2D,1433
-1,38,CONV_2D,24738
-1,39,DEPTHWISE_CONV_2D,1415
-1,40,CONV_2D,24728
-1,41,DEPTHWISE_CONV_2D,1415
-1,42,CONV_2D,24738
-1,43,MEAN,5681
-1,44,FULLY_CONNECTED,33
0,0,CONV_2D,39682
0,1,DEPTHWISE_CONV_2D,1433
0,2,CONV_2D,24733
0,3,DEPTHWISE_CONV_2D,1420
0,4,CONV_2D,24732
0,5,DEPTHWISE_CONV_2D,1415
0,6,CONV_2D,24727
0,7,MEAN,5686
0,8,FULLY_CONNECTED,34
1,0,CONV_2D,39681
1,1,DEPTHWISE_CONV_2D,1434
1,2,CONV_2D,24727
1,3,DEPTHWISE_CONV_2D,1415
1,4,CONV_2D,24733
1,5,DEPTHWISE_CONV_2D,1421
1,6,CONV_2D,24733
1,7,MEAN,5678
1,8,FULLY_CONNECTED,31
2,0,CONV_2D,39680
2,1,DEPTHWISE_CONV_2D,1428
2,2,CONV_2D,24733
2,3,DEPTHWISE_CONV_2D,1420
2,4,CONV_2D,24728
2,5,DEPTHWISE_CONV_2D,1415
2,6,CONV_2D,24733
2,7,MEAN,5683
2,8,FULLY_CONNECTED,31
3,0,CONV_2D,39680
3,1,DEPTHWISE_CONV_2D,1433
3,2,CONV_2D,24727
3,3,DEPTHWISE_CONV_2D,1415
3,4,CONV_2D,24732
3,5,DEPTHWISE_CONV_2D,1420
3,6,CONV_2D,24728
3,7,MEAN,5683
3,8,FULLY_CONNECTED,31
4,0,CONV_2D,39681
4,1,DEPTHWISE_CONV_2D,1429
4,2,CONV_2D,24733
4,3,DEPTHWISE_CONV_2D,1421
4,4,CONV_2D,24727
4,5,DEPTHWISE_CONV_2D,1414
4,6,CONV_2D,24732
4,7,MEAN,5677
4,8,FULLY_CONNECTED,31
5,0,CONV_2D,39680
5,1,DEPTHWISE_CONV_2D,1434
5,2,CONV_2D,24733
5,3,DEPTHWISE_CONV_2D,1415
5,4,CONV_2D,24733
5,5,DEPTHWISE_CONV_2D,1420
5,6,CONV_2D,24727
5,7,MEAN,5683
5,8,FULLY_CONNECTED,31
6,0,CONV_2D,39680
6,1,DEPTHWISE_CONV_2D,1428
6,2,CONV_2D,24727
6,3,DEPTHWISE_CONV_2D,1420
6,4,CONV_2D,24733
6,5,DEPTHWISE_CONV_2D,1415
6,6,CONV_2D,24732
6,7,MEAN,5677
6,8,FULLY_CONNECTED,31
7,0,CONV_2D,39680
7,1,DEPTHWISE_CONV_2D,1434
7,2,CONV_2D,24733
7,3,DEPTHWISE_CONV_2D,1415
7,4,CONV_2D,24727
7,5,DEPTHWISE_CONV_2D,1420
7,6,CONV_2D,24733
7,7,MEAN,5677
7,8,FULLY_CONNECTED,32
8,0,CONV_2D,39680
8,1,DEPTHWISE_CONV_2D,1435
8,2,CONV_2D,24727
8,3,DEPTHWISE_CONV_2D,1420
8,4,CONV_2D,24733
8,5,DEPTHWISE_CONV_2D,1415
8,6,CONV_2D,24727
8,7,MEAN,5683
8,8,FULLY_CONNECTED,31
9,0,CONV_2D,39680
9,1,DEPTHWISE_CONV_2D,1434
9,2,CONV_2D,24727
9,3,DEPTHWISE_CONV_2D,1421
9,4,CONV_2D,24727
9,5,DEPTHWISE_CONV_2D,1420
9,6,CONV_2D,24733
9,7,MEAN,5677
9,8,FULLY_CONNECTED,32
10,0,CONV_2D,39680
10,1,DEPTHWISE_CONV_2D,1429
10,2,CONV_2D,24733
10,3,DEPTHWISE_CONV_2D,1420
10,4,CONV_2D,24727
10,5,DEPTHWISE_CONV_2D,1421
10,6,CONV_2D,24727
10,7,MEAN,5683
10,8,FULLY_CONNECTED,31
11,0,CONV_2D,39680
11,1,DEPTHWISE_CONV_2D,1434
11,2,CONV_2D,24727
11,3,DEPTHWISE_CONV_2D,1414
11,4,CONV_2D,24733
11,5,DEPTHWISE_CONV_2D,1420
11,6,CONV_2D,24727
11,7,MEAN,5683
11,8,FULLY_CONNECTED,31
12,0,CONV_2D,39680
12,1,DEPTHWISE_CONV_2D,1429
12,2,CONV_2D,24733
12,3,DEPTHWISE_CONV_2D,1419
12,4,CONV_2D,24727
12,5,DEPTHWISE_CONV_2D,1414
12,6,CONV_2D,24733
12,7,MEAN,5677
12,8,FULLY_CONNECTED,31
13,0,CONV_2D,39685
13,1,DEPTHWISE_CONV_2D,1435
13,2,CONV_2D,24728
13,3,DEPTHWISE_CONV_2D,1415
13,4,CONV_2D,24733
13,5,DEPTHWISE_CONV_2D,1420
13,6,CONV_2D,24727
13,7,MEAN,5682
13,8,FULLY_CONNECTED,31
14,0,CONV_2D,39680
14,1,DEPTHWISE_CONV_2D,1428
14,2,CONV_2D,24733
14,3,DEPTHWISE_CONV_2D,1421
14,4,CONV_2D,24728
14,5,DEPTHWISE_CONV_2D,1415
14,6,CONV_2D,24733
14,7,MEAN,5677
14,8,FULLY_CONNECTED,32
15,0,CONV_2D,39685
15,1,DEPTHWISE_CONV_2D,1428
15,2,CONV_2D,24733
15,3,DEPTHWISE_CONV_2D,1415
15,4,CONV_2D,24732
15,5,DEPTHWISE_CONV_2D,1421
15,6,CONV_2D,24727
15,7,MEAN,5683
15,8,FULLY_CONNECTED,31
16,0,CONV_2D,39681
16,1,DEPTHWISE_CONV_2D,1428
16,2,CONV_2D,24732
16,3,DEPTHWISE_CONV_2D,1415
16,4,CONV_2D,24733
16,5,DEPTHWISE_CONV_2D,1414
16,6,CONV_2D,24732
16,7,MEAN,5678
16,8,FULLY_CONNECTED,31
17,0,CONV_2D,39685
17,1,DEPTHWISE_CONV_2D,1429
17,2,CONV_2D,24733
17,3,DEPTHWISE_CONV_2D,1414
17,4,CONV_2D,24732
17,5,DEPTHWISE_CONV_2D,1415
17,6,CONV_2D,24733
17,7,MEAN,5677
17,8,FULLY_CONNECTED,32
18,0,CONV_2D,39680
18,1,DEPTHWISE_CONV_2D,1429
18,2,CONV_2D,24738
18,3,DEPTHWISE_CONV_2D,1415
18,4,CONV_2D,24733
18,5,DEPTHWISE_CONV_2D,1415
18,6,CONV_2D,24732
18,7,MEAN,5677
18,8,FULLY_CONNECTED,31
19,0,CONV_2D,39685
19,1,DEPTHWISE_CONV_2D,1428
19,2,CONV_2D,24727
19,3,DEPTHWISE_CONV_2D,1415
19,4,CONV_2D,24738
19,5,DEPTHWISE_CONV_2D,1415
19,6,CONV_2D,24733
19,7,MEAN,5677
19,8,FULLY_CONNECTED,31
20,0,CONV_2D,39680
20,1,DEPTHWISE_CONV_2D,1428
20,2,CONV_2D,24738
20,3,DEPTHWISE_CONV_2D,1414
20,4,CONV_2D,24727
20,5,DEPTHWISE_CONV_2D,1415
20,6,CONV_2D,24738
20,7,MEAN,5671
20,8,FULLY_CONNECTED,31
21,0,CONV_2D,39685
21,1,DEPTHWISE_CONV_2D,1434
21,2,CONV_2D,24727
21,3,DEPTHWISE_CONV_2D,1415
21,4,CONV_2D,24738
21,5,DEPTHWISE_CONV_2D,1414
21,6,CONV_2D,24727
21,7,MEAN,5683
21,8,FULLY_CONNECTED,31
22,0,CONV_2D,39680
22,1,DEPTHWISE_CONV_2D,1429
22,2,CONV_2D,24732
22,3,DEPTHWISE_CONV_2D,1421
22,4,CONV_2D,24727
22,5,DEPTHWISE_CONV_2D,1414
22,6,CONV_2D,24737
22,7,MEAN,5672
22,8,FULLY_CONNECTED,32
23,0,CONV_2D,39685
23,1,DEPTHWISE_CONV_2D,1429
23,2,CONV_2D,24733
23,3,DEPTHWISE_CONV_2D,1415
23,4,CONV_2D,24732
23,5,DEPTHWISE_CONV_2D,1421
23,6,CONV_2D,24727
23,7,MEAN,5682
23,8,FULLY_CONNECTED,31
24,0,CONV_2D,39680
24,1,DEPTHWISE_CONV_2D,1428
24,2,CONV_2D,24733
24,3,DEPTHWISE_CONV_2D,1415
24,4,CONV_2D,24733
24,5,DEPTHWISE_CONV_2D,1415
24,6,CONV_2D,24733
24,7,MEAN,5678
24,8,FULLY_CONNECTED,31
25,0,CONV_2D,39685
25,1,DEPTHWISE_CONV_2D,1428
25,2,CONV_2D,24733
25,3,DEPTHWISE_CONV_2D,1415
25,4,CONV_2D,24732
25,5,DEPTHWISE_CONV_2D,1415
25,6,CONV_2D,24733
25,7,MEAN,5677
25,8,FULLY_CONNECTED,31
26,0,CONV_2D,39680
26,1,DEPTHWISE_CONV_2D,1434
26,2,CONV_2D,24732
26,3,DEPTHWISE_CONV_2D,1415
26,4,CONV_2D,24733
26,5,DEPTHWISE_CONV_2D,1414
26,6,CONV_2D,24732
26,7,MEAN,5678
26,8,FULLY_CONNECTED,32
27,0,CONV_2D,39685
27,1,DEPTHWISE_CONV_2D,1429
27,2,CONV_2D,24727
27,3,DEPTHWISE_CONV_2D,1421
27,4,CONV_2D,24732
27,5,DEPTHWISE_CONV_2D,1415
27,6,CONV_2D,24732
27,7,MEAN,5677
27,8,FULLY_CONNECTED,31
28,0,CONV_2D,39680
28,1,DEPTHWISE_CONV_2D,1429
28,2,CONV_2D,24738
28,3,DEPTHWISE_CONV_2D,1415
28,4,CONV_2D,24728
28,5,DEPTHWISE_CONV_2D,1421
28,6,CONV_2D,24732
28,7,MEAN,5678
28,8,FULLY_CONNECTED,32
29,0,CONV_2D,39685
29,1,DEPTHWISE_CONV_2D,1428
29,2,CONV_2D,24727
29,3,DEPTHWISE_CONV_2D,1415
29,4,CONV_2D,24738
29,5,DEPTHWISE_CONV_2D,1414
29,6,CONV_2D,24727
29,7,MEAN,5683
29,8,FULLY_CONNECTED,31
30,0,CONV_2D,39680
30,1,DEPTHWISE_CONV_2D,1429
30,2,CONV_2D,24737
30,3,DEPTHWISE_CONV_2D,1414
30,4,CONV_2D,24727
30,5,DEPTHWISE_CONV_2D,1415
30,6,CONV_2D,24738
30,7,MEAN,5672
30,8,FULLY_CONNECTED,31
31,0,CONV_2D,39680
31,1,DEPTHWISE_CONV_2D,1428
31,2,CONV_2D,24733
31,3,DEPTHWISE_CONV_2D,1415
31,4,CONV_2D,24737
31,5,DEPTHWISE_CONV_2D,1415
31,6,CONV_2D,24727
31,7,MEAN,5682
31,8,FULLY_CONNECTED,31
32,0,CONV_2D,39680
32,1,DEPTHWISE_CONV_2D,1428
32,2,CONV_2D,24733
32,3,DEPTHWISE_CONV_2D,1415
32,4,CONV_2D,24733
32,5,DEPTHWISE_CONV_2D,1415
32,6,CONV_2D,24738
32,7,MEAN,5677
32,8,FULLY_CONNECTED,31
33,0,CONV_2D,39680
33,1,DEPTHWISE_CONV_2D,1428
33,2,CONV_2D,24733
33,3,DEPTHWISE_CONV_2D,1414
33,4,CONV_2D,24733
33,5,DEPTHWISE_CONV_2D,1415
33,6,CONV_2D,24733
33,7,MEAN,5683
33,8,FULLY_CONNECTED,31
34,0,CONV_2D,39677
34,1,DEPTHWISE_CONV_2D,1440
34,2,CONV_2D,24727
34,3,DEPTHWISE_CONV_2D,1414
34,4,CONV_2D,24733
34,5,DEPTHWISE_CONV_2D,1420
34,6,CONV_2D,24728
34,7,MEAN,5683
34,8,FULLY_CONNECTED,32
35,0,CONV_2D,78910
35,1,DEPTHWISE_CONV_2D,1439
35,2,CONV_2D,24741
35,3,DEPTHWISE_CONV_2D,1433
35,4,CONV_2D,24727
35,5,DEPTHWISE_CONV_2D,1414
35,6,CONV_2D,24738
35,7,MEAN,5677
35,8,FULLY_CONNECTED,37
36,0,CONV_2D,39686
36,1,DEPTHWISE_CONV_2D,1428
36,2,CONV_2D,24733
36,3,DEPTHWISE_CONV_2D,1415
36,4,CONV_2D,24732
36,5,DEPTHWISE_CONV_2D,1421
36,6,CONV_2D,24727
36,7,MEAN,5683
36,8,FULLY_CONNECTED,33
37,0,CONV_2D,39680
37,1,DEPTHWISE_CONV_2D,1429
37,2,CONV_2D,24732
37,3,DEPTHWISE_CONV_2D,1414
37,4,CONV_2D,24733
37,5,DEPTHWISE_CONV_2D,1415
37,6,CONV_2D,24732
37,7,MEAN,5677
37,8,FULLY_CONNECTED,31
38,0,CONV_2D,39685
38,1,DEPTHWISE_CONV_2D,1428
38,2,CONV_2D,24733
38,3,DEPTHWISE_CONV_2D,1415
38,4,CONV_2D,24732
38,5,DEPTHWISE_CONV_2D,1414
38,6,CONV_2D,24733
38,7,MEAN,5677
38,8,FULLY_CONNECTED,31
39,0,CONV_2D,39680
39,1,DEPTHWISE_CONV_2D,1428
39,2,CONV_2D,24738
39,3,DEPTHWISE_CONV_2D,1415
39,4,CONV_2D,24733
39,5,DEPTHWISE_CONV_2D,1415
39,6,CONV_2D,24733
39,7,MEAN,5678
39,8,FULLY_CONNECTED,31
40,0,CONV_2D,39686
40,1,DEPTHWISE_CONV_2D,1428
40,2,CONV_2D,24727
40,3,DEPTHWISE_CONV_2D,1415
40,4,CONV_2D,24737
40,5,DEPTHWISE_CONV_2D,1415
40,6,CONV_2D,24733
40,7,MEAN,5677
40,8,FULLY_CONNECTED,32
41,0,CONV_2D,39680
41,1,DEPTHWISE_CONV_2D,1429
41,2,CONV_2D,24738
41,3,DEPTHWISE_CONV_2D,1415
41,4,CONV_2D,24727
41,5,DEPTHWISE_CONV_2D,1414
41,6,CONV_2D,24738
41,7,MEAN,5678
41,8,FULLY_CONNECTED,31
42,0,CONV_2D,39679
42,1,DEPTHWISE_CONV_2D,1434
42,2,CONV_2D,24728
42,3,DEPTHWISE_CONV_2D,1415
42,4,CONV_2D,24738
42,5,DEPTHWISE_CONV_2D,1415
