op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,110.069,5.555,109.275,149.019,109.279,8.509
1,DEPTHWISE_CONV_2D,4.049,0.005,4.042,4.074,4.049,0.313
2,CONV_2D,162.595,6.753,161.405,201.140,161.413,12.570
3,DEPTHWISE_CONV_2D,4.025,0.005,4.017,4.045,4.025,0.311
4,CONV_2D,162.618,6.754,161.428,201.182,161.438,12.572
5,DEPTHWISE_CONV_2D,4.027,0.005,4.019,4.039,4.026,0.311
6,CONV_2D,163.003,7.775,161.415,201.169,161.425,12.602
7,DEPTHWISE_CONV_2D,4.036,0.005,4.028,4.052,4.035,0.312
8,CONV_2D,163.007,7.749,161.423,201.167,161.433,12.602
9,DEPTHWISE_CONV_2D,4.035,0.004,4.028,4.045,4.035,0.312
10,CONV_2D,162.990,7.749,161.406,201.156,161.416,12.601
11,DEPTHWISE_CONV_2D,4.027,0.005,4.018,4.045,4.026,0.311
12,CONV_2D,162.618,6.753,161.427,201.167,161.437,12.572
13,DEPTHWISE_CONV_2D,4.027,0.005,4.018,4.046,4.027,0.311
14,CONV_2D,162.605,6.754,161.415,201.173,161.424,12.571
15,MEAN,15.597,0.004,15.590,15.605,15.596,1.206
16,FULLY_CONNECTED,0.173,0.004,0.169,0.182,0.172,0.013
