op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,30.157,3.921,29.759,68.978,29.765,26.242
1,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.070,1.064,0.927
2,CONV_2D,14.953,0.003,14.949,14.959,14.951,13.011
3,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.073,1.064,0.927
4,CONV_2D,14.953,0.003,14.949,14.959,14.953,13.011
5,DEPTHWISE_CONV_2D,1.065,0.002,1.063,1.070,1.064,0.926
6,CONV_2D,15.345,3.923,14.949,54.180,14.955,13.353
7,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.075,1.064,0.927
8,CONV_2D,14.953,0.003,14.945,14.960,14.954,13.012
9,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.075,1.064,0.927
10,CONV_2D,14.953,0.004,14.944,14.968,14.955,13.012
11,MEAN,4.260,0.004,4.254,4.269,4.260,3.707
12,FULLY_CONNECTED,0.022,0.001,0.021,0.025,0.022,0.019
