run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,39952
-1,1,DEPTHWISE_CONV_2D,1644
-1,2,CONV_2D,24872
-1,3,DEPTHWISE_CONV_2D,1471
-1,4,CONV_2D,24874
-1,5,DEPTHWISE_CONV_2D,1478
-1,6,CONV_2D,24852
-1,7,DEPTHWISE_CONV_2D,1469
-1,8,CONV_2D,24869
-1,9,DEPTHWISE_CONV_2D,1473
-1,10,CONV_2D,24866
-1,11,DEPTHWISE_CONV_2D,1480
-1,12,CONV_2D,24879
-1,13,MEAN,5779
-1,14,FULLY_CONNECTED,152
-1,15,CONV_2D,39749
-1,16,DEPTHWISE_CONV_2D,1437
-1,17,CONV_2D,24783
-1,18,DEPTHWISE_CONV_2D,1480
-1,19,CONV_2D,24810
-1,20,DEPTHWISE_CONV_2D,1433
-1,21,CONV_2D,24829
-1,22,DEPTHWISE_CONV_2D,1461
-1,23,CONV_2D,24765
-1,24,DEPTHWISE_CONV_2D,1464
-1,25,CONV_2D,24819
-1,26,DEPTHWISE_CONV_2D,1437
-1,27,CONV_2D,24825
-1,28,MEAN,5688
-1,29,FULLY_CONNECTED,70
-1,30,CONV_2D,39748
-1,31,DEPTHWISE_CONV_2D,1437
-1,32,CONV_2D,24807
-1,33,DEPTHWISE_CONV_2D,1476
-1,34,CONV_2D,24806
-1,35,DEPTHWISE_CONV_2D,1432
-1,36,CONV_2D,24841
-1,37,DEPTHWISE_CONV_2D,1447
-1,38,CONV_2D,24783
-1,39,DEPTHWISE_CONV_2D,1467
-1,40,CONV_2D,24820
-1,41,DEPTHWISE_CONV_2D,1439
-1,42,CONV_2D,24846
-1,43,MEAN,5681
-1,44,FULLY_CONNECTED,71
-1,45,CONV_2D,39751
-1,46,DEPTHWISE_CONV_2D,1433
-1,47,CONV_2D,24797
-1,48,DEPTHWISE_CONV_2D,1473
-1,49,CONV_2D,24805
-1,50,DEPTHWISE_CONV_2D,1436
-1,51,CONV_2D,24839
-1,52,DEPTHWISE_CONV_2D,1448
-1,53,CONV_2D,24778
-1,54,DEPTHWISE_CONV_2D,1462
-1,55,CONV_2D,24820
-1,56,DEPTHWISE_CONV_2D,1439
-1,57,CONV_2D,24835
-1,58,MEAN,5687
-1,59,FULLY_CONNECTED,70
-1,60,CONV_2D,39748
-1,61,DEPTHWISE_CONV_2D,1437
-1,62,CONV_2D,24804
-1,63,DEPTHWISE_CONV_2D,1470
-1,64,CONV_2D,24811
-1,65,DEPTHWISE_CONV_2D,1447
-1,66,CONV_2D,24835
-1,67,DEPTHWISE_CONV_2D,1448
-1,68,CONV_2D,24783
-1,69,DEPTHWISE_CONV_2D,1463
-1,70,CONV_2D,24832
-1,71,DEPTHWISE_CONV_2D,1434
-1,72,CONV_2D,24837
-1,73,MEAN,5687
-1,74,FULLY_CONNECTED,72
0,0,CONV_2D,39748
0,1,DEPTHWISE_CONV_2D,1433
0,2,CONV_2D,24798
0,3,DEPTHWISE_CONV_2D,1479
0,4,CONV_2D,24806
0,5,DEPTHWISE_CONV_2D,1464
0,6,CONV_2D,24838
0,7,DEPTHWISE_CONV_2D,1448
0,8,CONV_2D,24779
0,9,DEPTHWISE_CONV_2D,1470
0,10,CONV_2D,24818
0,11,DEPTHWISE_CONV_2D,1437
0,12,CONV_2D,24844
0,13,MEAN,5681
0,14,FULLY_CONNECTED,70
1,0,CONV_2D,39751
