run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,59819
-1,1,DEPTHWISE_CONV_2D,2386
-1,2,CONV_2D,51801
-1,3,DEPTHWISE_CONV_2D,2205
-1,4,CONV_2D,51782
-1,5,DEPTHWISE_CONV_2D,2199
-1,6,CONV_2D,51804
-1,7,DEPTHWISE_CONV_2D,2214
-1,8,CONV_2D,51782
-1,9,DEPTHWISE_CONV_2D,2203
-1,10,CONV_2D,51799
-1,11,DEPTHWISE_CONV_2D,2210
-1,12,CONV_2D,51791
-1,13,MEAN,8609
-1,14,FULLY_CONNECTED,173
-1,15,CONV_2D,59639
-1,16,DEPTHWISE_CONV_2D,2207
-1,17,CONV_2D,51797
-1,18,DEPTHWISE_CONV_2D,2209
-1,19,CONV_2D,51786
-1,20,DEPTHWISE_CONV_2D,2207
-1,21,CONV_2D,51802
-1,22,DEPTHWISE_CONV_2D,2209
-1,23,CONV_2D,51782
-1,24,DEPTHWISE_CONV_2D,2201
-1,25,CONV_2D,51804
-1,26,DEPTHWISE_CONV_2D,2203
-1,27,CONV_2D,51791
-1,28,MEAN,8518
-1,29,FULLY_CONNECTED,103
-1,30,CONV_2D,59638
-1,31,DEPTHWISE_CONV_2D,2213
-1,32,CONV_2D,51797
-1,33,DEPTHWISE_CONV_2D,2203
-1,34,CONV_2D,51795
-1,35,DEPTHWISE_CONV_2D,2200
-1,36,CONV_2D,51800
-1,37,DEPTHWISE_CONV_2D,2210
-1,38,CONV_2D,51780
-1,39,DEPTHWISE_CONV_2D,2213
-1,40,CONV_2D,51798
-1,41,DEPTHWISE_CONV_2D,2209
-1,42,CONV_2D,51789
-1,43,MEAN,8516
-1,44,FULLY_CONNECTED,103
-1,45,CONV_2D,59637
-1,46,DEPTHWISE_CONV_2D,2208
-1,47,CONV_2D,51801
-1,48,DEPTHWISE_CONV_2D,2209
-1,49,CONV_2D,51786
-1,50,DEPTHWISE_CONV_2D,2201
-1,51,CONV_2D,51798
-1,52,DEPTHWISE_CONV_2D,2215
-1,53,CONV_2D,51790
-1,54,DEPTHWISE_CONV_2D,2202
-1,55,CONV_2D,51799
-1,56,DEPTHWISE_CONV_2D,2204
-1,57,CONV_2D,51788
-1,58,MEAN,8515
-1,59,FULLY_CONNECTED,104
-1,60,CONV_2D,59642
-1,61,DEPTHWISE_CONV_2D,2209
-1,62,CONV_2D,51802
-1,63,DEPTHWISE_CONV_2D,2208
-1,64,CONV_2D,51780
-1,65,DEPTHWISE_CONV_2D,2209
-1,66,CONV_2D,51801
-1,67,DEPTHWISE_CONV_2D,2216
-1,68,CONV_2D,51780
-1,69,DEPTHWISE_CONV_2D,2201
-1,70,CONV_2D,51799
-1,71,DEPTHWISE_CONV_2D,2204
-1,72,CONV_2D,51799
-1,73,MEAN,8516
-1,74,FULLY_CONNECTED,104
0,0,CONV_2D,59630
0,1,DEPTHWISE_CONV_2D,2220
0,2,CONV_2D,51797
0,3,DEPTHWISE_CONV_2D,2203
0,4,CONV_2D,51786
0,5,DEPTHWISE_CONV_2D,2207
0,6,CONV_2D,51803
0,7,DEPTHWISE_CONV_2D,2210
0,8,CONV_2D,51781
0,9,DEPTHWISE_CONV_2D,2201
0,10,CONV_2D,51800
0,11,DEPTHWISE_CONV_2D,2215
0,12,CONV_2D,51793
0,13,MEAN,8516
0,14,FULLY_CONNECTED,104
1,0,CONV_2D,59638
1,1,DEPTHWISE_CONV_2D,2208
1,2,CONV_2D,51798
1,3,DEPTHWISE_CONV_2D,2203
1,4,CONV_2D,51793
1,5,DEPTHWISE_CONV_2D,2201
1,6,CONV_2D,51802
1,7,DEPTHWISE_CONV_2D,2216
1,8,CONV_2D,51776
1,9,DEPTHWISE_CONV_2D,2213
1,10,CONV_2D,51800
1,11,DEPTHWISE_CONV_2D,2204
1,12,CONV_2D,51792
1,13,MEAN,8515
1,14,FULLY_CONNECTED,104
2,0,CONV_2D,59636
