op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,39.752,0.004,39.745,39.767,39.751,19.421
1,DEPTHWISE_CONV_2D,1.441,0.007,1.433,1.466,1.438,0.704
2,CONV_2D,25.195,3.942,24.785,64.021,24.798,12.309
3,DEPTHWISE_CONV_2D,1.473,0.003,1.467,1.481,1.472,0.720
4,CONV_2D,25.211,3.925,24.805,64.064,24.818,12.317
5,DEPTHWISE_CONV_2D,1.440,0.008,1.434,1.471,1.438,0.704
6,CONV_2D,24.835,0.005,24.825,24.851,24.835,12.133
7,DEPTHWISE_CONV_2D,1.451,0.007,1.441,1.479,1.449,0.709
8,CONV_2D,25.172,3.901,24.769,63.989,24.783,12.298
9,DEPTHWISE_CONV_2D,1.465,0.004,1.460,1.476,1.464,0.716
10,CONV_2D,24.828,0.006,24.814,24.848,24.827,12.130
11,DEPTHWISE_CONV_2D,1.439,0.008,1.433,1.467,1.436,0.703
12,CONV_2D,25.230,3.940,24.824,64.033,24.833,12.326
13,MEAN,5.683,0.004,5.675,5.687,5.682,2.776
14,FULLY_CONNECTED,0.071,0.001,0.069,0.077,0.071,0.035
