op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,59.636,0.002,59.629,59.639,59.636,15.083
1,DEPTHWISE_CONV_2D,2.211,0.004,2.207,2.220,2.208,0.559
2,CONV_2D,52.583,5.517,51.793,91.010,51.798,13.299
3,DEPTHWISE_CONV_2D,2.206,0.003,2.202,2.215,2.205,0.558
4,CONV_2D,52.178,3.921,51.780,90.998,51.786,13.196
5,DEPTHWISE_CONV_2D,2.204,0.005,2.199,2.216,2.201,0.557
6,CONV_2D,52.194,3.921,51.790,91.014,51.802,13.200
7,DEPTHWISE_CONV_2D,2.212,0.003,2.204,2.221,2.210,0.559
8,CONV_2D,52.567,5.519,51.776,91.019,51.782,13.295
9,DEPTHWISE_CONV_2D,2.204,0.003,2.201,2.215,2.204,0.557
10,CONV_2D,51.799,0.003,51.793,51.808,51.799,13.101
11,DEPTHWISE_CONV_2D,2.207,0.004,2.203,2.217,2.204,0.558
12,CONV_2D,52.577,5.517,51.785,91.003,51.792,13.297
13,MEAN,8.516,0.002,8.508,8.521,8.516,2.154
14,FULLY_CONNECTED,0.104,0.001,0.101,0.109,0.104,0.026
