slug,filters,blocks,description,simd_aligned,params,fp32_acc_pct,fp32_size_kb,ptq_acc_pct,ptq_size_kb,qat_acc_pct,qat_size_kb,train_date_utc,updated_utc,int8_acc_pct,int8_size_kb,quant
f104_b4,104,4,mmid-l depth=4,True,56172,95.69090033702456,334.4833984375,95.49831487722676,83.09375,95.49831487722676,83.7890625,2026-05-17T12:01:37+00:00,2026-05-17T12:05:27.954033+00:00,,,
f104_b5,104,5,mmid-l depth=5,True,68756,95.81126624939817,403.9599609375,96.12421762156957,101.234375,95.73904670197399,102.125,2026-05-17T12:09:56+00:00,2026-05-17T12:14:33.397470+00:00,,,
f104_b6,104,6,mmid-l depth=6,True,81340,95.54646124217622,474.1240234375,95.47424169475205,119.375,95.35387578237842,120.4609375,2026-05-17T12:19:35+00:00,2026-05-17T12:24:19.182409+00:00,,,
f112_b4,112,4,mid-l depth=4,True,64076,95.35387578237842,365.3583984375,95.40202214732788,92.5,95.37794896485316,93.1953125,2026-05-17T12:25:36+00:00,2026-05-17T12:29:15.899114+00:00,,,
f112_b5,112,5,mid-l depth=5,True,78524,96.0519980741454,442.1162109375,95.85941261434762,112.8359375,95.78719306692345,113.7265625,2026-05-17T12:33:17+00:00,2026-05-17T12:37:21.011723+00:00,,,
f112_b6,112,6,mid-l depth=6,True,92972,95.69090033702456,519.5615234375,95.57053442465094,133.171875,95.47424169475205,134.2578125,2026-05-17T12:41:25+00:00,2026-05-17T12:45:48.397990+00:00,,,
f128_b3,128,3,l depth=3,True,62860,95.45016851227732,339.9677734375,95.1131439576312,87.7109375,95.35387578237842,88.2109375,2026-05-17T10:09:29+00:00,2026-05-17T10:12:57.765842+00:00,,,
f128_b4,128,4,l depth=4,True,81420,95.69090033702456,433.1083984375,95.32980259990372,112.8125,95.49831487722676,113.5078125,2026-05-17T12:49:35+00:00,2026-05-17T12:53:35.479685+00:00,,,
f128_b5,128,5,l depth=5,True,99980,95.71497351949928,525.9287109375,95.66682715454982,137.9140625,95.93163216177179,138.8046875,2026-05-17T12:57:30+00:00,2026-05-17T13:01:57.039026+00:00,,,
f128_b6,128,6,"mid, aligned",True,118540,95.88348579682234,619.4365234375,95.52238805970148,163.015625,95.54646124217622,164.3046875,,2026-05-17T09:06:47.268018+00:00,,,
f128_b6_qat,128,6,"mid, aligned",True,118540,95.88348579682234,619.4365234375,,,,,2026-05-16T11:13:25+00:00,,95.54646124217622,164.3046875,qat
f128_b7,128,7,l deep,True,137100,95.88348579682234,713.2177734375,95.8353394318729,188.1171875,95.88348579682234,189.3984375,2026-05-17T10:17:48+00:00,2026-05-17T10:22:45.436138+00:00,,,
f128_b8,128,8,l very deep,True,155660,95.85941261434762,806.3583984375,95.8353394318729,213.21875,95.52238805970148,214.6953125,2026-05-17T10:28:02+00:00,2026-05-17T10:33:41.201679+00:00,,,
f160_b4,160,4,xl-mid shallow,True,122252,95.78719306692345,592.6083984375,95.54646124217622,159.4375,95.04092441020703,160.1328125,2026-05-17T10:37:56+00:00,2026-05-17T10:42:03.757225+00:00,,,
